DEMO RECOVERY REPORT
timestamp: 2026-02-24T21:33:24+01:00

PRESENT adapter-output-delivery
MISSING_NO_HISTORY agent-activity-events
MISSING_NO_HISTORY agent-activity-events-phase-3-7
MISSING_NO_HISTORY agent-dispatch-guidance
MISSING_NO_HISTORY agent-output-monitor
MISSING_NO_HISTORY auto-architecture-diagrams
MISSING_NO_HISTORY banner-animations
MISSING_NO_HISTORY bug-delivery-service
MISSING_NO_HISTORY bugs-round-1
MISSING_NO_HISTORY cache-deferreds
MISSING_NO_HISTORY cache-startup-warmup
MISSING_NO_HISTORY cache-unification
MISSING_NO_HISTORY codebase-audit
MISSING_NO_HISTORY config-schema-validation
MISSING_NO_HISTORY daemon-independent-jobs
MISSING_NO_HISTORY data-caching-pushing
MISSING_NO_HISTORY db-raw-sql-cleanup
MISSING_NO_HISTORY db-refactor
MISSING_NO_HISTORY deferral-automation
MISSING_NO_HISTORY delivery-verification-gates
MISSING_NO_HISTORY discord-adapter-integrity
MISSING_NO_HISTORY discord-media-handling
MISSING_NO_HISTORY doc-access-control
MISSING_NO_HISTORY e2e-smoke-tests
MISSING_NO_HISTORY fix-demo-runner
PRESENT frontend-theming-tui-parity
MISSING_NO_HISTORY help-desk
MISSING_NO_HISTORY help-desk-control-room
MISSING_NO_HISTORY help-desk-discord
MISSING_NO_HISTORY help-desk-platform
MISSING_NO_HISTORY inbound-hook-service
MISSING_NO_HISTORY job-contract-refinements
MISSING_NO_HISTORY job-report-notifications
MISSING_NO_HISTORY lifecycle-enforcement-gates
MISSING_NO_HISTORY member-invite
MISSING_NO_HISTORY mode-selector
MISSING_NO_HISTORY model-boundary-consolidation
MISSING_NO_HISTORY new-bug-key-in-todos-pane
MISSING_NO_HISTORY next-machine
MISSING_NO_HISTORY next-prepare-hitl
MISSING_NO_HISTORY next-prepare-maintenance
MISSING_NO_HISTORY output-origin-routing
MISSING_NO_HISTORY pane-state-reconciliation
MISSING_NO_HISTORY performance-hardening
MISSING_NO_HISTORY reduce-loose-dict-typings
MISSING_NO_HISTORY refactor-again
MISSING_NO_HISTORY release-arbiter
MISSING_NO_HISTORY release-automation
MISSING_NO_HISTORY release-lane-claude
MISSING_NO_HISTORY release-lane-codex
MISSING_NO_HISTORY release-lane-gemini
MISSING_NO_HISTORY release-manifests
MISSING_NO_HISTORY release-pipeline-simulation
MISSING_NO_HISTORY release-workflow-foundation
MISSING_NO_HISTORY remove-phase-field
MISSING_NO_HISTORY role-based-notifications
MISSING_NO_HISTORY role-tools-injection
MISSING_NO_HISTORY run-agent-command
MISSING_NO_HISTORY runtime-settings-tts-toggle
MISSING_NO_HISTORY send-result
MISSING_NO_HISTORY session-messages-api
MISSING_NO_HISTORY session-relay
MISSING_NO_HISTORY startup-cache-hook-fixes
MISSING_NO_HISTORY state-machine-refinement
MISSING_NO_HISTORY state-yaml-migration
MISSING_NO_HISTORY telec-config-cli
MISSING_NO_HISTORY telec-config-interactive
MISSING_NO_HISTORY telec-enhancements
MISSING_NO_HISTORY telec-todo-scaffold
MISSING_NO_HISTORY telegram-adapter-hardening
MISSING_NO_HISTORY terminal-adapter-refactor
MISSING_NO_HISTORY test-cleanup
PRESENT textual-footer-migration
PRESENT themed-primary-color
MISSING_NO_HISTORY threaded-output-experiment
MISSING_NO_HISTORY title-update
MISSING_NO_HISTORY todo-breakdown-assessment
MISSING_NO_HISTORY todo-remove-cli-option
MISSING_NO_HISTORY tts-fallback-saturation
MISSING_NO_HISTORY tui-config-experience
MISSING_NO_HISTORY tui-footer-clickable-agents
PRESENT tui-markdown-editor
MISSING_NO_HISTORY tui-snapshot-tests
MISSING_NO_HISTORY tui-todo-dependencies
MISSING_NO_HISTORY ui-adapter-pre-respond-trigger
MISSING_NO_HISTORY universal-hooks
MISSING_NO_HISTORY web-api-proxy-completion
MISSING_NO_HISTORY web-interface
MISSING_NO_HISTORY web-interface-1
MISSING_NO_HISTORY web-interface-2
MISSING_NO_HISTORY web-interface-3
MISSING_NO_HISTORY web-interface-4
MISSING_NO_HISTORY webhook-service
MISSING_NO_HISTORY widget-sdk
MISSING_NO_HISTORY worktree-preparation

SUMMARY
already_present=5
recovered_total=0
recovered_from_demos_path=0
recovered_from_todos_path=0
missing_no_history=90
